mode,experiment,dataset_name,dataset_size,accuracy,precision,recall,f1,auc,loss
merged,merged,openfake_merged_merged,38396,0.9551515782894051,0.9585913718904168,0.9514011876237108,0.9549827460002092,0.990569814180365,0.17608693110471232
by_generator,dalle-3,openfake_by_generator_dalle-3,3198,0.9787367104440275,0.983575489576753,0.9737335834896811,0.978629792583281,0.9971155361719587,0.07084871462783342
by_generator,flux-1.1-pro,openfake_by_generator_flux-1.1-pro,3198,0.9349593495934959,0.9290561381863047,0.9418386491557224,0.9354037267080745,0.9834404398308667,0.1948700776746528
by_generator,flux-mvc5000,openfake_by_generator_flux-mvc5000,3198,0.9721701063164477,0.9796696315120712,0.9643527204502814,0.9719508351717617,0.9971065405559525,0.0763076246064331
by_generator,flux.1-dev,openfake_by_generator_flux.1-dev,3198,0.9552845528455285,0.9631043256997456,0.9468417761100688,0.9549038158309682,0.9925539766293896,0.1325020382671225
by_generator,gpt-image-1,openfake_by_generator_gpt-image-1,3198,0.9815509693558474,0.9818523153942428,0.9812382739212008,0.9815451986237097,0.9983715979460271,0.057930696074192115
by_generator,grok-2-image-1212,openfake_by_generator_grok-2-image-1212,3198,0.9878048780487805,0.9887218045112782,0.9868667917448405,0.9877934272300469,0.9992418260161819,0.03484409170608509
by_generator,hidream-i1-full,openfake_by_generator_hidream-i1-full,3198,0.9559099437148217,0.9527950310559006,0.959349593495935,0.9560610782175133,0.9918190739130656,0.13049942449555313
by_generator,ideogram-3.0,openfake_by_generator_ideogram-3.0,3198,0.9790494058786742,0.9805520702634881,0.9774859287054409,0.9790165988098967,0.9975631658466966,0.06160032284038935
by_generator,imagen-4.0,openfake_by_generator_imagen-4.0,3198,0.9540337711069419,0.9577553593947037,0.9499687304565353,0.9538461538461539,0.9899444657601433,0.15226739327224662
by_generator,midjourney-6,openfake_by_generator_midjourney-6,3198,0.9815509693558474,0.9788557213930348,0.9843652282676673,0.9816027439975055,0.9985434924344914,0.054391230215983064
by_generator,sd-3.5,openfake_by_generator_sd-3.5,3198,0.9677923702313946,0.9710327455919395,0.9643527204502814,0.9676812048948855,0.9942711615022053,0.10330026186280432
by_generator,sdxl-epic-realism,openfake_by_generator_sdxl-epic-realism,3198,0.9859287054409006,0.9838107098381071,0.9881175734834271,0.9859594383775351,0.9989019481766473,0.03831226688479449
logo,dalle-3,openfake_logo_dalle-3,16000,0.8951875,0.9491405029123455,0.835125,0.888489926191901,0.9704852187500002,0.46830284035205844
logo,flux-1.1-pro,openfake_logo_flux-1.1-pro,16000,0.7216875,0.9314035514473364,0.478625,0.6323177276855751,0.87835903125,1.972934996277094
logo,flux-mvc5000,openfake_logo_flux-mvc5000,16000,0.8551875,0.937355702631984,0.76125,0.840173829068083,0.9515643437499999,0.6875456159114838
logo,flux.1-dev,openfake_logo_flux.1-dev,16000,0.9475,0.950314465408805,0.944375,0.9473354231974922,0.9881683359374999,0.21439540798962117
logo,gpt-image-1,openfake_logo_gpt-image-1,16000,0.9510625,0.9506681653553141,0.9515,0.9510839007934029,0.9892290703124998,0.19464006841927767
logo,grok-2-image-1212,openfake_logo_grok-2-image-1212,16000,0.82275,0.9354131534569983,0.693375,0.796410624551328,0.9450922734375001,0.7862093399986625
logo,hidream-i1-full,openfake_logo_hidream-i1-full,16000,0.9306875,0.9544914918876137,0.9045,0.928823567165137,0.9822237265625001,0.2902890685349703
logo,ideogram-3.0,openfake_logo_ideogram-3.0,16000,0.93475,0.9545216936748563,0.913,0.9332992588806542,0.9841126875000001,0.2538834567293525
logo,imagen-4.0,openfake_logo_imagen-4.0,15994,0.9285357008878329,0.9568115169288189,0.8975865949731149,0.9262533066649461,0.982699730355617,0.28660434874293356
logo,midjourney-6,openfake_logo_midjourney-6,16000,0.821625,0.9427047487955953,0.684875,0.7933680857225601,0.9467859140625,0.8134360684230924
logo,sd-3.5,openfake_logo_sd-3.5,16000,0.789625,0.9317927692881103,0.625,0.7481669908723627,0.9216981562500001,1.1191498798653483
logo,sdxl-epic-realism,openfake_logo_sdxl-epic-realism,16000,0.875875,0.9416862514688602,0.801375,0.8658833063209076,0.9637090781250001,0.5160071398988366
